"","mkz","min_dist"
"1","43420059",6994.34670656431
"2","43420066",6969.17720181677
"3","43420072",6902.77493337058
"4","43425058",9595.07925769504
"5","43425059",9145.84499882459
"6","43425060",8965.80461499574
"7","43425061",9403.39597812354
"8","43425066",8136.20531760882
"9","43425068",9032.45183693148
"10","43425069",7862.57769585198
"11","43425100",4629.34938290301
"12","43425103",5979.18355026966
"13","43425105",6633.92756809611
"14","43425106",6975.68874588786
"15","43425107",2020.23107971944
"16","43435043",19591.2682290868
"17","43435044",20051.6833110987
"18","43435045",20346.0260695992
"19","43435072",10630.4943668872
"20","43435073",12748.2041838517
"21","43435074",13458.6070951661
"22","43435075",11617.233460719
"23","43435077",13738.5284178767
"24","43435078",14690.7017961074
"25","43435079",13960.6330199148
"26","43435080",10784.6814455993
"27","43435081",12150.609333126
"28","43435082",11570.6408520922
"29","43435083",11797.1025232828
"30","43435084",12280.2765611446
"31","43435085",12643.3995345124
"32","43435086",14837.6682817759
"33","43435087",15570.4825886777
"34","43435088",16230.226637846
"35","43435089",16470.8027604588
"36","43435090",17040.40002334
"37","43435091",17156.7170046938
"38","43435095",12194.356416769
"39","43440001",23265.1822374881
"40","44391280",4632.22420512439
"41","44393876",6729.29672722831
"42","44396262",6645.99047578886
"43","44396267",9927.1938455191
"44","44396268",10031.8390208684
"45","44396269",9550.9642768716
"46","44396279",10752.6829857535
"47","44396281",8376.0772385883
"48","44396283",8849.62994176259
"49","44396284",8313.25173502328
"50","44396285",8485.21018626504
"51","44396286",8329.75908808746
"52","44396300",6659.59952776468
"53","44396301",7078.32398833887
"54","44396305",4776.89678469357
"55","44396310",7062.21556686098
"56","44396311",6360.66102341214
"57","44396312",7781.86209431072
"58","44396313",8249.20986171668
"59","44396314",7631.80854862189
"60","44396315",7482.11048144288
"61","44396316",7496.2478256405
"62","44396317",7276.90003370888
"63","44396318",6554.97429623119
"64","44396321",2977.29006563569
"65","44396323",3548.81047648555
"66","44396325",4540.67873811155
"67","44396336",4988.23297246932
"68","44399349",2889.87919204746
"69","44399354",3008.69725083878
"70","44399398",3013.78610008678
"71","44400015",2366.02511326793
"72","44400016",2041.29589399361
"73","44400025",1847.10449914376
"74","44400238",1281.08600828002
"75","44400501",2535.64622704124
"76","44406309",2356.81769212732
"77","44406337",485.822995539963
"78","44406339",1072.81716896387
"79","44406340",1239.55476756484
"80","44406341",1385.03237563895
"81","44406363",4693.19628773678
"82","44406364",4946.53660372699
"83","44406366",5433.70909875939
"84","44406370",4378.88371999505
"85","44406377",6134.73781296462
"86","44406378",6216.45758970404
"87","44406379",6335.79294960287
"88","44406380",5501.15033122148
"89","44406387",4859.51135923157
"90","44406388",5598.69845982321
"91","44406389",4666.84631648095
"92","44406391",3922.60839361007
"93","44406392",3961.74935987811
"94","44406394",3471.30550692202
"95","44406395",3246.60678940987
"96","44406396",3113.12291881278
"97","44406397",2857.25520550068
"98","44406400",1763.21813090545
"99","44406402",1252.62677014858
"100","44406403",857.313775841509
"101","44406406",1492.67655485696
"102","44406407",1767.43879492745
"103","44406409",1063.95011464087
"104","44406410",517.164514772525
"105","44406411",1710.48421411652
"106","44406412",1938.21498156536
"107","44406417",2943.43355612841
"108","44406418",2850.46746995211
"109","44406420",2876.20622486545
"110","44406421",2171.90849675647
"111","44406432",4048.03788207133
"112","44406436",3219.75274561058
"113","44406440",3791.56032597856
"114","44406441",3243.32626876441
"115","44406443",1888.95091982796
"116","44406444",1550.11837442254
"117","44406446",1213.54009342017
"118","44406447",427.98460884319
"119","44406448",1025.87612366929
"120","44406449",845.912596084601
"121","44406451",1075.76355267527
"122","44406452",1004.09099938582
"123","44406453",1033.13527960011
"124","44406454",1772.49893759114
"125","44406455",1816.13422260415
"126","44406456",1904.98557506795
"127","44406457",1690.32611845994
"128","44406474",4113.40381720306
"129","44406475",4682.98447284244
"130","44406476",3181.15389822487
"131","44406477",3080.79685256854
"132","44406479",3000.30731261238
"133","44406480",4013.46539926934
"134","44406481",3876.76271877455
"135","44406483",3215.87120590651
"136","44409353",2370.32838841601
"137","44409360",3163.15143083381
"138","44410050",3572.86010811433
"139","44410348",2421.60721703945
"140","44416471",2646.05392846232
"141","44416479",3306.3378148649
"142","44416480",2976.10993171723
"143","44416481",3518.02714426393
"144","44416482",2916.84132903535
"145","44416483",1095.1641014308
"146","44416484",1598.9863669619
"147","44416485",3739.90238649416
"148","44416486",3622.71494573474
"149","44416488",4606.36174942736
"150","44416492",2079.45976339433
"151","44416493",1983.2244575775
"152","44416494",2919.4969911524
"153","44416497",3303.65987371076
"154","44416498",2555.03677028599
"155","44416501",4856.85238202327
"156","44416505",6434.71443395665
"157","44416506",6610.91274751898
"158","44416510",6009.48268625951
"159","44416517",4453.84584811217
"160","44416518",4694.45596071277
"161","44416531",532.662191009617
"162","44416532",696.966650188633
"163","44416533",1686.68596115932
"164","44416534",2267.12022390827
"165","44416535",2902.01406431739
"166","44416536",2772.42677492383
"167","44416541",4434.55979114567
"168","44416542",4808.1455542513
"169","44416543",4216.91304299839
"170","44416548",5886.80353109747
"171","44416549",6108.30446052326
"172","44416551",3852.88216877855
"173","44416552",4491.21490121844
"174","44416553",4114.15476998014
"175","44416555",3906.67502144666
"176","44416556",3539.1886203465
"177","44416557",3977.80523909336
"178","44416610",5676.45645028771
"179","44420002",302.697635364859
"180","44425470",5276.77978849973
"181","44425471",3843.14510869763
"182","44425476",7046.96503580277
"183","44426530",372.991974564977
"184","44426567",4947.08473886021
"185","44426571",4135.84296474487
"186","44426572",5380.0322191712
"187","44426573",2744.67375816092
"188","44426574",4197.60010431923
"189","44426575",4757.60094595845
"190","44426576",5110.68360781
"191","44429484",2954.0382327174
"192","44430001",7767.34614911547
"193","44430053",14549.9661977535
"194","44430056",6089.15942891835
"195","44430100",7969.79675963309
"196","44430201",18558.8434784897
"197","44440104",18455.1808696788
"198","44445022",20911.0727470373
"199","44445023",21286.415303
"200","44445029",20311.4861844823
"201","44445034",18949.4245358463
"202","44445035",19232.5142456623
"203","44527351",7112.05556203029
"204","44533080",2705.24093740731
"205","44533384",2624.96043929757
"206","44540001",3613.09550411165
"207","45390002",6133.99336779305
"208","45390006",7408.17572578026
"209","45390007",3586.97764936476
"210","45390014",10301.6907577186
"211","45390017",10989.6091137052
"212","45390018",11239.2859442437
"213","45390023",6187.86927688162
"214","45390090",6033.06955764568
"215","45391856",6262.48220269138
"216","45394576",11406.0862824151
"217","45394676",11805.4614123862
"218","45396218",9870.03727616666
"219","45396221",7795.82407909663
"220","45396222",6743.54048700481
"221","45396229",8212.19895905242
"222","45396230",8124.75521921194
"223","45396231",9418.81133119093
"224","45396233",10103.2783242337
"225","45396234",10468.5609562058
"226","45396236",10574.8804567983
"227","45396237",10469.0612563669
"228","45396238",10747.3632215826
"229","45396239",10797.8550672005
"230","45396240",11530.1118163931
"231","45396241",11583.3868985186
"232","45396242",11557.1176803463
"233","45396243",11418.5709854183
"234","45396244",11541.2418150617
"235","45396245",11290.2080383002
"236","45396246",11178.2578587326
"237","45396247",10531.7263828129
"238","45396248",10402.2405753747
"239","45396249",10014.1323207397
"240","45396250",8329.1840572598
"241","45396252",8501.38635958105
"242","45396253",8541.1881176861
"243","45396254",9216.07208707534
"244","45396255",9268.73931473836
"245","45396256",9348.9669317607
"246","45396258",11657.1970601077
"247","45396259",11743.8940694328
"248","45396260",11530.7350258765
"249","45396261",11484.1372342962
"250","45396266",10471.1573277876
"251","45396267",5981.17845140614
"252","45396268",5927.16026551695
"253","45396338",8873.6380257278
"254","45396339",8455.32735604302
"255","45400016",9440.02087134597
"256","45400020",6207.01364165344
"257","45400040",4377.6059392994
"258","45400522",3895.21999968799
"259","45400604",2264.42263158454
"260","45400717",5895.86121796365
"261","45401288",1840.97064390214
"262","45401323",8459.32765411931
"263","45401342",6063.50075484353
"264","45406137",3647.69354410201
"265","45406145",5392.51846766022
"266","45406146",5530.39634353901
"267","45406147",5281.98917130203
"268","45406149",6345.66088187362
"269","45406150",6100.68910070833
"270","45406152",5512.09677993741
"271","45406153",4614.60385591783
"272","45406154",4313.44755855554
"273","45406156",3940.02108970316
"274","45406157",6904.3549625454
"275","45406160",5721.25265875476
"276","45406161",6575.07673506893
"277","45406162",5728.70233298915
"278","45406163",5518.9438417805
"279","45406164",6923.96877279375
"280","45406165",7160.7130093007
"281","45406166",7425.50351692577
"282","45406168",8735.92536797747
"283","45406169",9019.19214656004
"284","45406170",7982.53939792552
"285","45406171",8616.17284422205
"286","45406172",8987.3428128232
"287","45406173",9121.7247053665
"288","45406175",9187.78943611855
"289","45406177",9332.34134656176
"290","45406178",9446.46370290714
"291","45406180",9711.24469092447
"292","45406183",10448.4956338638
"293","45406184",10166.4735813358
"294","45406185",10188.3467969576
"295","45406186",11723.1442402711
"296","45406187",12004.5707082599
"297","45406373",7103.71995520559
"298","45406374",6982.36950857218
"299","45406375",6498.78494841288
"300","45406384",5390.39001637865
"301","45406385",5399.60716870484
"302","45406386",5269.29394922729
"303","45406476",5235.46456112188
"304","45406477",5836.07720446802
"305","45406480",4915.31757165262
"306","45406600",1066.8700076237
"307","45406601",1024.23237932876
"308","45406602",1002.02834558328
"309","45410012",263.220438510571
"310","45410101",2839.30791758999
"311","45410449",2995.33252850491
"312","45411340",626.106164709936
"313","45411588",5382.15081900419
"314","45411589",5384.35631246275
"315","45416104",3784.54501983352
"316","45416116",5514.03021758124
"317","45416117",5606.23270623014
"318","45416118",5787.23577900831
"319","45416119",4994.11537189482
"320","45416126",3539.83819669848
"321","45416127",4463.13200782536
"322","45416128",5875.33668657462
"323","45416129",5887.51777593078
"324","45416130",6460.21575306287
"325","45416132",3956.2229571842
"326","45416133",3882.91792033119
"327","45416135",5148.8140397132
"328","45416138",3300.09960039339
"329","45416139",6625.00470691035
"330","45416140",5458.65416861221
"331","45416141",5363.09697268042
"332","45416458",6044.16719315576
"333","45416459",6044.02596348804
"334","45416461",6025.43561632162
"335","45416462",6025.43561632162
"336","45416463",5483.09471490753
"337","45416464",5483.09471490753
"338","45416465",4701.35188773061
"339","45416466",4701.35188773061
"340","45416467",5406.76613566882
"341","45416468",5406.76928375929
"342","45416479",5421.44352653733
"343","45416526",5003.70167463871
"344","45416528",1357.72189996623
"345","45416529",2627.37697087337
"346","45416538",357.429902439807
"347","45416539",4771.83032883338
"348","45416540",1368.94110990747
"349","45420012",4461.01477817383
"350","45420899",1725.90613191754
"351","45420900",2018.02450427409
"352","45421335",1861.98402614869
"353","45421336",4238.61880378184
"354","45426104",630.475019576208
"355","45426105",902.720841752487
"356","45426106",659.745789023454
"357","45426107",755.816286095086
"358","45426108",1113.36689449793
"359","45426109",66.4500453956768
"360","45426110",229.115179396631
"361","45426111",1359.12040003726
"362","45426112",1546.75331893338
"363","45426113",2027.59252677086
"364","45426114",2566.23256759102
"365","45426115",2566.23256759102
"366","45426142",2260.56413371223
"367","45426278",2223.15380767755
"368","45429513",3559.47245628846
"369","45430001",10048.9440705621
"370","45430522",12750.6008697206
"371","45430523",6252.12738178289
"372","45431737",3606.59206645569
"373","45440655",12574.2504747986
"374","45445017",18174.2448975349
"375","45445018",18246.1513318229
"376","45445019",19122.3298490965
"377","45460301",8997.05851743643
"378","45460311",9181.64982939052
"379","45461513",9189.28772477123
"380","45461636",9113.15978356333
"381","45461873",6183.48392320056
"382","45471871",5091.8378155616
"383","4550B145",2052.7917476106
"384","45503372",647.062074093323
"385","45503376",1367.51186531283
"386","45503442",5090.78725098741
"387","45503443",805.303254755397
"388","45503444",571.161163981924
"389","45503445",375.123500404398
"390","45503446",689.577813928564
"391","45509002",5321.34200952242
"392","45510001",936.957659517495
"393","45510012",5733.34310953535
"394","45512208",6759.81174393375
"395","45513450",1319.48332048471
"396","45513515",4648.01831384466
"397","45513558",2461.61371596117
"398","45518126",4907.21884612983
"399","45528110",10258.9198298799
"400","45540001",2503.65162140088
"401","45543090",2785.00707473199
"402","45543092",2760.59130538745
"403","45546201",799.029533036896
"404","45546202",4102.79688674266
"405","45546204",2713.75468059669
"406","45549001",2800.82080279
"407","45553050",3363.0804738586
"408","46380113",5651.22163588657
"409","46390001",280.195470388092
"410","46390003",497.484876035993
"411","46390004",804.68500647689
"412","46390005",3807.21233111183
"413","46390008",4279.85179828368
"414","46390009",420.699420291473
"415","46390010",6837.4377877753
"416","46390011",1554.358315182
"417","46390014",2357.12808228967
"418","46390017",6558.92368010823
"419","46390018",2316.08326758398
"420","46390020",415.787248349005
"421","46390021",2138.69618381351
"422","46390035",448.143456779913
"423","46390040",871.151520513582
"424","46390043",1754.46504349285
"425","46390059",2231.35337423691
"426","46390060",2579.82152426585
"427","46390061",1340.60240137811
"428","46390062",0
"429","46390063",3665.48378363079
"430","46390064",3347.75679987388
"431","46390065",2845.32886576844
"432","46390066",2498.95940253026
"433","46390067",3136.24322502494
"434","46390068",3562.76669741188
"435","46390069",2200.58368252909
"436","46390070",3165.26879616373
"437","46390071",1118.41082911126
"438","46390074",448.971631836155
"439","46390076",315.59527848758
"440","46390079",4471.14864540555
"441","46390098",3038.17642547346
"442","46390101",1952.52564376909
"443","46390102",1543.32633897363
"444","46390103",921.529317816419
"445","46390104",1729.24730452363
"446","46390105",1865.35215033296
"447","46390109",4346.60893321236
"448","46390111",3236.64777238233
"449","46390120",2511.91537570275
"450","46390131",1844.5716575478
"451","46390138",4335.82337597538
"452","46390150",1845.43339178078
"453","46390168",1851.05904803697
"454","46390185",2129.74244262568
"455","46390194",3295.38657591917
"456","46390203",875.190499596529
"457","46390204",2540.88078701344
"458","46390206",3344.78872670993
"459","46390234",2412.02523982379
"460","46390251",3304.10402725177
"461","46390253",3222.73223998248
"462","46390257",4499.32359907755
"463","46390298",3552.41491422941
"464","46390570",2861.52272889446
"465","46390714",3141.7611035259
"466","46390715",2180.66967987213
"467","46390851",1669.69767962774
"468","46391246",1866.24314643948
"469","46391293",3806.43830647591
"470","46391311",2838.66424933737
"471","46391313",158.159346435102
"472","46391314",291.819078384572
"473","46391316",5639.38311953009
"474","46391416",4766.06797008008
"475","46391417",5513.05595639933
"476","46391418",2152.55558684077
"477","46391420",2133.31453471714
"478","46391421",1361.56871011044
"479","46391422",1077.46718936467
"480","46391693",933.302738587843
"481","46391694",5915.9559252882
"482","46391701",471.002801220465
"483","46391702",527.605289439861
"484","46391705",551.058644188264
"485","46392270",4508.11153408712
"486","46392294",4446.12473410233
"487","46392296",2468.21437126289
"488","46392323",2478.21585556725
"489","46392762",3719.13046279998
"490","46392766",2204.29769065623
"491","46400001",6608.49898384791
"492","46400002",6609.22313826612
"493","46400003",4214.17778037131
"494","46400004",4176.15233245438
"495","46400005",5035.07301070311
"496","46400006",5113.76195062546
"497","46400007",4221.74271811205
"498","46400008",4373.08682796418
"499","46400009",4603.23352463915
"500","46400010",5397.95624898838
"501","46400011",4307.29664451419
"502","46400012",4668.15233140058
"503","46400013",5466.06321502422
"504","46400014",5181.8417512724
"505","46400015",5082.25048701716
"506","46400016",6175.21435614769
"507","46400017",5244.83303006836
"508","46400018",6377.35572367205
"509","46400019",4155.80758666454
"510","46400020",4174.56476994923
"511","46400021",4693.43877964891
"512","46400023",4163.61877748606
"513","46400025",4653.24670289169
"514","46400026",5104.68898128277
"515","46400027",5953.83775179007
"516","46400028",6400.03388212401
"517","46400029",7615.73924328228
"518","46400031",7761.61243135984
"519","46400032",7437.82344935433
"520","46400033",6723.21522257274
"521","46400034",6208.05635302329
"522","46400035",5229.1873119383
"523","46400036",6555.77243732024
"524","46400038",5627.61124304124
"525","46400039",7591.21176122127
"526","46400040",3207.06154964201
"527","46400043",5768.76905246493
"528","46400044",6065.71427576164
"529","46400045",7394.30751142048
"530","46400046",4545.55785789908
"531","46400047",4544.81396445558
"532","46400049",7386.49054861357
"533","46400061",7499.27791054564
"534","46400067",3633.67072048382
"535","46400068",3811.63397123455
"536","46400090",7404.93685840663
"537","46400100",3073.40515200924
"538","46400101",2892.57522557939
"539","46400102",3214.7843317663
"540","46400122",5030.22582430468
"541","46400124",4351.54243750459
"542","46400128",8093.35180584865
"543","46400168",5302.39840741832
"544","46400170",8312.29780343124
"545","46400195",3547.03353921401
"546","46400202",5014.86997059218
"547","46400208",8333.35367088577
"548","46400386",7958.50278777621
"549","46400392",3980.54791700407
"550","46400410",7407.16869186638
"551","46400413",5582.63611109112
"552","46400415",5852.35922750672
"553","46400416",7830.27983163369
"554","46400418",4713.71115208756
"555","46400420",7936.16585912599
"556","46400439",5637.1601605807
"557","46400487",6931.77608074239
"558","46400516",4214.76576681996
"559","46400520",8305.51305902795
"560","46400537",7737.85449757207
"561","46400548",8365.49311260729
"562","46400556",7034.93739083401
"563","46400557",6244.74815741914
"564","46400558",6422.98864601178
"565","46400567",5585.04995371462
"566","46400578",6403.84712759136
"567","46400595",2817.3748741441
"568","46400621",8331.37774449211
"569","46400638",3698.57496916463
"570","46400650",7143.73877182985
"571","46400651",6371.56368822384
"572","46400671",7022.27085072406
"573","46400701",7124.72694436159
"574","46400998",3191.43059996183
"575","46401337",7528.93603338
"576","46401338",4594.45988674823
"577","46401339",6253.06003165561
"578","46401400",7217.02735820766
"579","46401402",7973.47150252762
"580","46401403",6495.04327399956
"581","46401500",6272.4300674662
"582","46401502",6340.90110169625
"583","46401504",4544.78302213331
"584","46401506",4342.63177671695
"585","46401507",4816.87370766704
"586","46401508",5144.60480930365
"587","46401509",5244.18889717434
"588","46401510",4793.89386719657
"589","46401512",8249.46314548884
"590","46401514",5213.28622836039
"591","46402276",6584.30361089462
"592","46402281",7309.89040512907
"593","46402299",6922.19822167519
"594","46402314",7955.01957642724
"595","46402325",4030.63171781332
"596","46402326",6094.40767228097
"597","46402327",6599.51333000054
"598","46402637",5360.04603023263
"599","46410001",3113.85270599607
"600","46410013",3236.80887649002
"601","46410041",3793.9706018777
"602","46410042",3258.11658270942
"603","46410074",1934.65398927791
"604","46410107",4340.63046869366
"605","46410216",2588.25123683167
"606","46410301",570.414315144111
"607","46410302",565.450848875927
"608","46410303",561.707408651967
"609","46410304",555.826737171523
